GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
isogroup100027_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100035_Sym,0,0,1,0,0,0,0,0,0,0
isogroup100036_Sym,0,0,0,0,0,0,0,5,2,1
isogroup100038_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100042_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100048_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100053_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100057_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100058_Sym,0,0,0,0,0,0,0,0,0,0
isogroup10007_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100099_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100114_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100120_Sym,0,0,0,0,1,0,1,0,0,0
isogroup100125_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100143_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100144_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100158_Sym,0,0,0,0,0,0,0,0,0,1
isogroup100162_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100183_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100206_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100207_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100210_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100218_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100226_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100229_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100239_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100242_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100245_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100270_Sym,0,0,1,0,0,0,0,0,0,0
isogroup100279_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100281_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100291_Sym,0,0,0,0,0,0,0,1,0,0
isogroup100292_Sym,0,0,0,1,0,0,0,0,0,1
isogroup100298_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100315_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100346_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100350_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100360_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100367_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100373_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100375_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100396_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100399_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100401_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100423_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100430_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100437_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100460_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100464_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100493_Sym,0,1,0,0,0,0,1,0,0,0
isogroup100505_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100515_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100522_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100526_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100530_Sym,0,0,0,0,0,0,0,0,0,0
isogroup10053_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100543_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100548_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100549_Sym,0,0,0,0,0,0,0,0,0,0
isogroup100555_Sym,0,0,0,0,0,0,0,0,0,0
